term_str,n,max_pos
cloud,19,NN
clouded,1,NN
cloudless,3,NN
clouds,11,NN
cloudy,1,NN
club,18,NN
clubs,1,NN
clue,55,NN
clues,1,NN
cluesome,1,NN
clump,7,NN
clumsiness,1,NN
clumsy,2,NN
clung,1,NN
cluster,6,NN
clutch,1,NN
clutches,1,NN
co,7,NN
coach,3,NN
coachman,20,NN
coachmans,1,NN
coal,19,NN
coals,1,NN
coarse,9,NN
coarseness,1,NN
coarser,1,NN
coast,5,NN
coaster,1,NN
coat,53,NN
coatour,1,NN
coats,3,NN
coax,1,VB
coaxing,1,NN
cobblers,1,NN
cobras,1,NN
cobs,1,NN
cobwebby,1,NN
cocaine,6,NN
cock,3,NN
cocked,1,NN
cocking,1,NN
cocktail,1,NN
cocoa,3,NN
code,3,NN
coffee,26,NN
coffers,1,NN
coffin,1,NN
coherently,1,NN
coil,4,NN
coin,1,NN
coincide,1,VB
coincidence,7,NN
coincidences,1,NN
coiner,1,NN
coining,2,NN
coke,1,NN
cold,27,NN
colder,1,NN
coldly,6,NN
coldness,2,NN
collapse,1,VB
collar,19,NN
colleague,10,NN
colleagues,2,NN
collect,2,VB
collection,14,NN
collector,1,NN
college,5,NN
colliery,2,NN
collision,1,NN
colonel,16,NN
colonels,2,NN
colonies,2,NN
colony,1,NN
colossal,2,NN
colour,46,NN
coloured,2,NN
colourless,2,NN
colours,1,NN
column,23,NN
columns,6,NN
combination,8,NN
combinations,1,NN
come,329,VB
comer,1,NN
comes,5,NN
comet,1,NN
comfort,6,NN
comfortable,2,NN
comfortably,2,NN
comfortless,1,NN
comin,1,NN
coming,15,NN
command,18,NN
commandant,2,NN
commanded,2,NN
commander,1,NN
commemorate,1,VB
commence,5,VB
commenced,1,NN
commencement,3,NN
comment,3,NN
comments,1,NN
commerce,1,NN
commiseratingly,1,NN
commiseration,1,NN
commission,14,NN
commissionaire,6,NN
commissioned,1,VB
commissioner,1,NN
commissionnaire,9,NN
commissionnaires,4,NN
commit,2,VB
committed,3,NN
committee,3,NN
common,6,NN
commoner,1,NN
commoners,1,NN
commonplace,14,NN
commonplaceby,1,NN
commonplaceness,1,NN
commotion,1,NN
communicate,9,VB
communication,10,NN
communicative,1,NN
community,9,NN
commutation,1,NN
companies,1,NN
companion,141,NN
companions,29,NN
companionship,2,NN
company,50,NN
companys,4,NN
compare,6,VB
comparing,1,NN
comparison,1,NN
compass,5,NN
compasses,1,NN
compassion,1,NN
compelled,1,NN
compensation,3,NN
competence,2,NN
competent,1,NN
competition,2,NN
compilation,1,NN
complacently,1,NN
complain,3,VB
complaint,5,NN
complete,8,VB
completely,5,NN
complex,1,VB
complexion,4,NN
complexioned,1,NN
compliance,2,NN
complicate,2,VB
complication,2,NN
compliment,8,NN
compliments,2,NN
comply,3,VB
compose,1,NN
composed,2,NN
composer,3,NN
composition,3,NN
compositor,1,NN
compositors,1,NN
composure,3,NN
compound,1,NN
comprehension,1,NN
compress,1,VB
compressed,1,NN
compromise,1,VB
compromising,2,NN
compunction,4,NN
comrade,8,NN
comrades,6,NN
conceal,20,VB
concealed,3,NN
concealment,7,NN
conceit,2,NN
conceivable,2,NN
conceivably,1,VB
conceive,8,VB
concentrate,2,VB
concentrated,1,NN
concentration,7,NN
conception,4,NN
concern,7,NN
concerned,1,NN
concert,4,NN
concerts,1,NN
concise,2,NN
concluded,2,NN
concluding,2,NN
conclusion,37,NN
conclusions,7,NN
conclusive,3,NN
concoction,1,NN
condensation,1,NN
condense,1,VB
condescend,3,VB
condition,14,NN
conditions,4,NN
condone,1,VB
condonement,1,NN
conduct,22,NN
conducted,1,NN
conductor,1,NN
conductors,1,NN
confectioners,1,NN
confederate,10,NN
confer,1,VB
confess,27,VB
confession,8,NN
confidant,3,NN
confide,3,VB
confidence,36,NN
confidences,4,NN
confident,1,VB
confidently,2,NN
confine,6,VB
confirm,6,VB
confirmation,1,NN
confirmed,1,NN
conflict,1,NN
conform,1,NN
confound,3,VB
confusion,6,NN
congratulate,7,VB
congratulation,1,NN
congratulations,1,NN
conjecture,13,NN
conjectured,1,NN
conjunction,2,NN
conjurer,1,NN
conjuring,1,NN
conjuror,1,NN
connect,3,VB
connected,1,NN
connection,43,NN
connivance,2,NN
connive,1,NN
connoisseur,6,NN
conscience,15,NN
consciousness,9,NN
conseedar,2,VB
consent,4,NN
consequence,10,NN
consider,32,VB
considerable,1,NN
considerably,2,NN
considerate,2,NN
consideration,13,NN
considering,1,NN
consistence,1,NN
consolation,2,NN
conspiracy,7,NN
conspirators,2,NN
conspire,2,NN
conspiring,1,NN
constable,10,NN
constables,2,NN
constancy,2,NN
consternation,3,NN
constitution,9,NN
constitutional,1,NN
constraint,3,NN
construct,1,VB
constructed,2,NN
construction,3,NN
consult,13,VB
consultant,2,NN
consultation,8,NN
consulted,1,NN
consulting,6,NN
consumption,1,NN
contact,9,NN
contain,2,VB
contemplation,2,NN
contemplor,1,NN
contemporaries,1,NN
contempt,2,NN
contemptuous,1,NN
contend,1,VB
content,2,VB
contentment,2,NN
contents,4,NN
contest,2,NN
continent,1,NN
continents,2,NN
continue,16,VB
continued,7,NN
contortion,3,NN
contortions,1,NN
contraction,4,NN
contractor,2,NN
contradict,1,VB
contraltohum,1,NN
contrary,39,NN
contrast,13,NN
contretemps,1,NN
contribute,1,VB
contribution,1,NN
contrition,1,NN
control,6,NN
conundrums,1,NN
convalescent,1,NN
convenience,4,NN
convenient,3,NN
conversation,51,NN
converse,2,NN
convert,2,VB
convex,2,NN
convey,3,VB
conveyed,1,NN
convict,35,NN
conviction,15,NN
convictions,2,NN
convicts,5,NN
convince,2,VB
convinced,5,NN
convolution,1,NN
convoy,1,NN
convulse,2,VB
convulsion,1,NN
convulsive,1,NN
cooee,4,NN
cook,4,NN
cooking,2,NN
cool,5,NN
coolest,1,NN
coolly,2,NN
coolness,1,NN
cope,1,VB
copenhagen,1,NN
copied,1,VB
copier,1,NN
copper,7,NN
coppers,1,NN
cops,1,NN
copy,8,NN
copying,3,NN
cord,11,NN
cordiality,1,NN
cordially,5,NN
cork,3,NN
corkcutters,1,NN
cormac,1,NN
corner,102,NN
cornerprobably,1,NN
corners,2,NN
cornfields,1,NN
coroner,9,NN
coroners,4,NN
coronet,25,NN
corps,4,NN
corpse,2,NN
corpuscles,1,NN
correct,3,NN
correction,1,NN
correctly,1,NN
correctthis,1,NN
correspond,2,NN
correspondence,4,NN
correspondent,4,NN
corridor,27,NN
corridors,4,NN
corroborate,3,VB
corroborated,1,NN
corroboration,2,NN
corroding,1,NN
coruscation,1,NN
cosey,1,NN
cost,9,NN
costers,1,NN
costs,1,NN
costume,6,NN
cottage,27,NN
cotton,3,NN
cottonwoodsah,1,NN
couch,8,NN
cough,2,NN
coughing,2,NN
could,5,NN
couldnt,2,NN
council,4,NN
councillor,2,NN
councils,1,NN
counsel,4,NN
counsellor,1,NN
count,4,VB
countenance,8,NN
countenances,1,NN
counter,2,NN
countersign,3,NN
countless,2,NN
countries,1,NN
country,136,NN
countryin,1,NN
countryman,2,NN
countrys,1,NN
countryside,5,NN
countrythough,1,NN
countrywoman,1,NN
county,28,NN
couple,44,NN
courage,13,NN
course,228,NN
courses,1,NN
court,27,NN
courtesy,4,NN
courthouse,1,NN
cousin,3,NN
cousins,1,NN
cove,1,NN
cover,19,VB
covered,1,NN
covering,2,NN
coverings,1,NN
coverlet,1,NN
covert,1,NN
coward,4,NN
cowering,1,NN
cows,1,NN
crab,1,NN
crack,7,NN
cracker,1,NN
cracking,1,NN
crackling,3,NN
cracksman,1,NN
craft,5,NN
crafty,3,NN
crag,5,NN
craggy,2,NN
craniology,1,NN
cranium,1,NN
crank,1,NN
cranny,1,NN
crash,8,NN
crate,3,NN
cravat,10,NN
craving,1,NN
crawl,3,VB
craze,1,NN
crazy,1,NN
creak,2,NN
creaking,6,NN
cream,3,NN
creaming,1,NN
creamy,1,NN
creasote,6,NN
creature,56,NN
creatures,5,NN
credit,25,NN
creditor,1,NN
creed,3,NN
creeper,1,NN
creeping,1,NN
crenelated,1,NN
creosote,1,NN
crept,1,NN
crest,3,NN
crestfallen,2,NN
crevice,4,NN
crew,5,NN
crews,1,NN
crib,3,NN
cribs,1,NN
cried,15,VB
cries,3,NN
crime,124,NN
crimes,7,NN
criminal,27,NN
criminals,11,NN
criminology,1,NN
crimson,2,NN
cringe,1,VB
cringing,3,NN
cripple,7,NN
crisis,8,NN
crisp,8,NN
crisply,1,NN
critically,2,VB
criticism,4,NN
croaker,1,NN
crockery,1,NN
crocodile,1,NN
crone,2,NN
crony,2,NN
crook,5,NN
crop,15,NN
cropper,1,NN
cross,29,NN
crossed,1,NN
crossing,2,NN
crossroad,1,NN
crouching,1,NN
crow,1,NN
crowd,22,NN
crowds,3,NN
crown,7,NN
croydon,2,NN
crude,1,NN
crudest,1,NN
cruel,8,NN
cruelty,5,NN
crueltys,1,NN
cruise,1,NN
crumb,1,NN
crumbling,1,NN
crusade,1,NN
crush,2,VB
crushed,2,NN
crust,1,NN
crutch,1,NN
crux,1,NN
cry,76,NN
crying,1,NN
cryptogram,1,NN
crystal,1,NN
crystals,2,NN
cub,2,NN
cudgel,3,NN
cuff,6,NN
cuffs,2,NN
cuisine,1,NN
culprit,3,NN
culprits,1,NN
cultivate,1,VB
culture,1,NN
cultured,1,NN
cummerbund,1,NN
cunning,10,NN
cup,16,NN
cupboard,6,NN
cur,1,NN
curb,4,NN
cure,2,NN
curiosities,3,NN
curiosity,25,NN
curious,4,NN
curled,1,NN
curlew,1,NN
curling,1,NN
curls,1,NN
curry,2,NN
curse,11,NN
curses,1,NN
curt,5,NN
curtain,23,NN
curtly,3,NN
curtsey,2,NN
curvature,1,NN
curve,13,NN
curving,1,NN
cushion,3,NN
cushions,2,NN
custody,5,NN
custom,15,NN
customer,2,NN
customers,1,NN
cut,41,NN
cuts,1,NN
cutter,2,NN
cuttings,1,NN
cycle,2,NN
cyclist,1,NN
cyclopides,1,NN
cylinder,4,NN
cylinders,1,NN
cœur,1,NN
dabbler,1,NN
dad,10,NN
dailies,1,NN
dainty,5,NN
dairy,1,NN
dais,1,NN
damage,1,NN
damn,1,VB
damp,7,NN
damper,1,NN
dance,4,NN
dancing,1,NN
dandyand,1,NN
danger,83,NN
dangeroverhung,1,NN
dank,2,NN
danseuse,1,NN
dapper,3,NN
darbies,1,NN
dare,11,VB
daredevil,1,NN
daring,1,NN
dark,89,NN
darken,2,VB
darkened,1,VB
darker,7,NN
darkling,1,NN
darkness,54,NN
darlin,1,NN
darling,6,NN
darlinggood,1,NN
dart,3,NN
darting,1,NN
darts,3,NN
das,1,NN
dash,9,NN
dashing,1,NN
dass,1,NN
data,12,NN
date,32,NN
dates,5,NN
daughter,61,NN
daughterand,1,NN
daughters,1,NN
daughterwhat,1,NN
david,1,NN
dawdling,1,NN
dawn,7,NN
day,355,NN
daybreak,2,NN
dayit,1,NN
daylight,6,NN
days,49,NN
daytime,2,NN
dazed,3,NN
dazzle,1,VB
dead,18,NN
deader,1,NN
deadlock,2,NN
deadly,3,NN
deaf,4,NN
deal,70,NN
dealer,1,NN
dealers,3,NN
dealing,1,NN
deals,1,NN
dear,39,NN
dearest,1,VB
dearie,4,NN
death,176,NN
deathbeds,1,NN
deaths,2,NN
debate,1,NN
debates,1,NN
debris,1,NN
debt,10,NN
debts,2,NN
decade,2,NN
decamping,1,NN
decanter,1,NN
decay,4,NN
deceased,4,NN
deceive,3,VB
deceived,1,NN
deception,4,NN
decide,8,VB
decipher,1,VB
decision,7,NN
deck,7,NN
declaration,2,NN
declare,1,NN
decline,3,NN
declined,1,NN
decoration,1,NN
decoy,1,NN
decrepit,2,NN
decrepitude,1,NN
deduce,20,VB
deduction,19,NN
deductions,5,NN
deed,17,NN
deeficulty,1,NN
deep,7,NN
deepen,1,VB
deeper,3,NN
deeperso,1,NN
deepest,1,NN
deeply,6,NN
deer,2,NN
defect,2,NN
defects,1,NN
defence,9,NN
defend,4,VB
defenders,1,NN
defending,1,NN
defense,4,NN
defer,1,VB
deference,2,NN
defiance,2,NN
defiant,2,NN
defiantly,3,NN
deficiencies,1,NN
deficient,1,NN
deficit,1,NN
defile,3,NN
defiled,1,VB
defiles,1,NN
define,3,VB
defined,1,VB
definite,8,NN
definitely,2,NN
definition,1,NN
deformed,1,NN
deformity,1,NN
defray,1,VB
defy,1,VB
degree,12,NN
dejected,1,NN
dejection,1,NN
delay,13,NN
deliberate,4,NN
deliberation,1,NN
delicacy,9,NN
delicate,5,NN
delight,16,NN
delighted,2,NN
delinquencies,1,NN
delirious,2,NN
delirium,2,NN
deliver,4,VB
deliverer,1,NN
delusion,3,NN
demand,3,VB
demands,1,NN
demeanor,1,NN
demeanour,4,NN
demon,5,NN
demonill,1,NN
demonstration,3,NN
demure,3,NN
demurely,2,NN
den,13,NN
denial,2,NN
denouement,1,NN
dense,6,NN
deny,9,VB
depart,4,VB
departed,3,NN
departments,1,NN
departure,11,NN
depend,9,VB
dependant,1,NN
dependent,1,NN
dependents,1,NN
depends,1,NN
depicting,1,NN
deportment,1,NN
deposit,6,NN
deposition,1,NN
depositors,1,NN
depot,3,NN
depravity,1,NN
deprecating,1,NN
deprecatingly,1,NN
depreciatory,1,NN
depressed,2,NN
depressing,1,NN
depression,10,NN
deprivation,1,NN
deprive,1,VB
depth,3,NN
depths,3,NN
depthswhich,1,NN
depôt,2,NN
der,1,NN
derbies,1,NN
derisively,1,NN
descend,4,VB
descendant,2,NN
descended,1,NN
descending,1,NN
descent,3,NN
describe,11,VB
described,3,NN
description,26,NN
desert,9,NN
deserted,2,NN
desertion,1,NN
deserts,4,NN
deserve,1,VB
design,5,NN
designs,1,NN
desire,18,NN
desk,18,NN
desolate,5,NN
desolation,1,NN
despair,20,NN
despairing,2,NN
despatch,1,NN
desperate,2,NN
desperately,1,NN
desperation,2,NN
despondently,1,NN
despotism,2,NN
despotisms,1,NN
dessert,1,NN
destination,4,NN
destiny,5,NN
destitute,2,NN
destitution,1,NN
destroy,6,VB
destroyed,2,NN
destruction,8,NN
destructive,1,NN
desultory,3,NN
detach,2,VB
detail,25,NN
details,16,NN
detain,4,VB
detect,2,VB
detection,8,NN
detective,54,NN
detectives,8,NN
determination,6,NN
determine,9,VB
detour,1,NN
deuce,5,NN
develop,3,VB
development,11,NN
developments,3,NN
device,7,NN
devil,34,NN
devilry,1,NN
devils,4,NN
deviltry,4,NN
devise,3,VB
devoid,2,NN
devonshire,4,VB
devote,9,VB
devotedly,1,NN
devotion,2,NN
devoutly,1,NN
dew,1,NN
dexterity,2,NN
diabolical,1,NN
diadem,2,NN
diagnosis,1,NN
diagram,2,NN
dial,1,NN
dialect,1,NN
dialogue,2,NN
diamond,8,NN
diary,1,NN
dibbs,1,NN
dictate,2,NN
dictating,1,NN
did,51,NN
didnt,20,NN
die,12,VB
died,9,VB
diedshe,1,NN
dieppe,1,VB
dies,2,NN
diet,1,NN
differ,1,NN
difference,17,NN
differences,1,NN
differentiate,1,VB
difficult,2,NN
difficulties,8,NN
difficulty,52,NN
diffidence,1,NN
diffident,1,NN
dig,2,VB
digger,1,NN
digging,1,NN
diggings,4,NN
dignity,7,NN
digression,1,NN
dilate,1,VB
dilemma,1,NN
dilettante,1,NN
diligence,1,NN
dim,11,NN
dime,3,NN
diminish,1,VB
dimly,6,NN
dine,4,VB
dingiest,1,NN
dingy,1,NN
dining,19,NN
dinner,22,NN
dint,1,NN
dip,3,NN
diphtheria,1,NN
diplomacy,1,NN
diplomatist,2,NN
diplomatists,1,NN
direct,3,VB
directed,5,NN
direction,76,NN
directions,4,NN
directness,2,NN
director,6,NN
directors,2,NN
directory,1,NN
dirt,3,NN
dirty,11,NN
disadvantage,3,NN
disadvantages,1,NN
disappearance,20,NN
disappearanceare,1,NN
disappeared,7,NN
disappears,2,NN
disappoint,1,VB
disappointed,2,NN
disappointment,12,NN
disapprobation,1,NN
disarm,1,VB
disarranged,1,NN
disaster,5,NN
disc,2,NN
discern,4,VB
discharge,3,NN
discharged,1,VB
discipline,5,NN
discoloured,2,NN
disconsolate,1,NN
discontent,1,NN
discount,1,NN
discourage,2,VB
discover,15,VB
discovered,3,NN
discoverer,1,NN
discovery,17,NN
discredit,1,NN
discreet,5,NN
discrepancy,1,NN
discretion,5,NN
discriminate,1,VB
discs,2,NN
discuss,10,VB
discussed,1,VB
discussion,9,NN
disease,9,NN
diseaseevery,1,NN
disfavour,1,NN
disgrace,12,NN
disguise,15,NN
disguises,1,NN
disguisethe,1,NN
disgust,6,NN
dish,10,NN
disheartened,1,VB
dishonest,1,NN
dishonour,1,NN
disillusionize,1,VB
disinclination,1,NN
disk,2,NN
dislike,3,NN
dismal,1,NN
dismay,3,NN
dismiss,3,VB
dismissal,1,NN
dismissed,1,NN
disobedience,1,NN
disown,1,VB
disparity,1,NN
dispatch,1,VB
dispel,1,VB
dispense,3,VB
dispenser,1,NN
display,3,VB
displeasure,2,NN
disposal,5,NN
dispose,4,VB
disposition,14,NN
dispossess,1,NN
dispute,3,NN
disqualify,1,VB
disquisition,1,NN
disregard,5,VB
disremember,1,NN
disrepute,1,NN
dissatisfied,1,NN
dissecting,4,NN
dissent,1,NN
dissolute,1,NN
dissolves,1,VB
distaff,1,NN
distance,50,NN
distant,3,NN
distend,1,VB
distilling,1,NN
distinction,3,NN
distinguish,9,VB
distinguished,1,NN
distinguishing,1,NN
distortion,2,NN
distracted,2,NN
distracting,1,NN
distraction,1,VB
distrait,3,NN
distress,1,NN
distressed,1,NN
distribution,1,NN
district,27,NN
districts,1,NN
disturb,6,VB
disturbance,4,NN
disturbed,1,NN
ditch,4,NN
ditching,1,NN
ditchlike,1,NN
diversity,1,NN
divert,2,VB
divide,3,VB
division,7,NN
divorce,5,NN
divulge,1,VB
dizziness,1,NN
do,574,VB
dock,6,NN
dockers,1,NN
docket,1,NN
docketing,1,NN
docks,1,NN
doctor,53,NN
doctormy,1,NN
doctors,9,NN
doctrine,2,NN
doctrines,1,NN
document,19,NN
documents,3,NN
doddering,1,NN
dodge,2,NN
doer,2,NN
does,5,NN
doesnt,2,NN
dog,79,NN
doggy,1,VB
dogs,4,NN
doin,1,NN
doing,7,NN
doings,6,NN
dollar,9,NN
dollars,1,NN
domi,1,NN
domicile,1,NN
dominate,1,VB
done,38,NN
dont,81,NN
doom,1,NN
door,434,NN
doorand,1,NN
doors,3,NN
doorthat,1,NN
doorthe,1,NN
doorway,14,NN
dooties,1,NN
dose,1,NN
dot,1,NN
double,3,NN
doubt,197,NN
doubting,1,NN
doubtless,5,NN
doubts,3,NN
douglas,1,NN
dour,1,NN
dove,2,NN
down,82,NN
downcast,1,NN
downright,2,NN
downs,3,NN
downstairs,6,NN
dowry,3,NN
dozen,38,NN
dr,2,NN
drab,2,NN
draft,1,NN
drag,7,NN
dragon,1,NN
drain,1,VB
drains,1,NN
drama,8,NN
dramatic,2,NN
dramatist,1,NN
drank,2,NN
draught,6,NN
draw,37,VB
drawback,2,NN
drawbridge,11,NN
drawer,12,NN
drawers,3,NN
drawing,11,NN
drawn,13,NN
dread,5,NN
dreadful,3,NN
dreadfully,1,VB
dream,13,NN
dreamer,1,NN
dreaming,1,NN
dreamland,1,NN
dreams,2,NN
dreamy,2,NN
dreariest,1,NN
dreary,2,NN
dregs,1,NN
dress,44,NN
dressdidnt,1,NN
dressed,6,NN
dresser,1,NN
dresses,1,NN
dressing,15,NN
drew,2,NN
drift,3,NN
drily,1,NN
drink,28,NN
drinking,3,NN
drinks,1,NN
dripping,1,NN
drive,58,NN
driven,1,NN
driver,26,NN
driving,6,NN
drizzle,1,NN
drizzly,1,NN
drooped,1,NN
drooping,4,NN
drop,25,VB
dropped,4,NN
dropping,1,NN
drove,8,VB
drowsiness,1,NN
drowsy,2,NN
drug,7,NN
drugs,2,NN
drum,1,NN
drumming,2,NN
drums,1,NN
drunk,5,NN
drunkard,1,NN
drunken,5,NN
dry,4,NN
drying,1,NN
dryly,2,NN
duck,1,NN
due,2,NN
duel,1,NN
dug,1,NN
duke,1,NN
dull,14,NN
dulled,1,VB
duly,2,NN
dumb,8,NN
dumfoundered,1,NN
dummy,2,NN
dun,4,NN
dupe,1,NN
duplicate,5,NN
dure,1,NN
during,1,NN
dusk,5,NN
dusky,1,NN
dust,17,NN
dustcoat,1,NN
dusty,2,NN
dutch,1,NN
duties,13,NN
duty,41,NN
dutya,1,NN
dwarf,1,NN
dwell,6,VB
dweller,1,NN
dwelling,3,NN
dwellings,1,NN
dye,2,NN
dying,3,NN
dyou,3,NN
dyspnoea,1,NN
débris,1,NN
dénouement,1,NN
détour,1,NN
e,4,NN
each,6,NN
ead,1,NN
eager,6,NN
eagerly,7,NN
eagerness,11,NN
ear,26,NN
earlier,2,VB
earliest,1,NN
early,3,NN
earn,10,VB
earnest,5,NN
earnestly,7,NN
earnestness,7,NN
earring,3,NN
earrings,2,NN
ears,26,NN
earshot,2,NN
earth,57,NN
earthone,1,NN
ease,12,NN
easier,2,NN
easily,4,NN
east,13,NN
eastward,1,NN
easy,5,NN
eat,11,VB
eater,1,NN
eaves,4,NN
eavesdroppers,1,NN
ebony,1,NN
ecarté,1,NN
eccentric,1,NN
eccentricity,2,NN
ecclesiastic,1,NN
echo,3,NN
echoed,1,NN
eclipses,1,NN
ecliptic,1,NN
economy,3,NN
ecstasy,2,NN
eddy,1,NN
edge,42,NN
edition,3,NN
editions,1,NN
editor,3,NN
editorials,1,NN
education,9,NN
eel,1,NN
eerie,2,NN
efface,1,VB
effect,56,NN
effects,4,NN
efficacious,1,NN
efficiency,2,NN
effigy,3,NN
effort,21,NN
efforts,2,NN
effusion,2,NN
egg,7,NN
eggs,4,NN
eglow,1,NN
egotism,2,NN
eh,11,NN
eight,4,NN
eighteen,2,NN
eightpence,2,NN
eighty,1,NN
either,8,NN
ejaculation,3,NN
elaborate,1,NN
elastic,3,NN
elasticity,1,NN
elation,1,NN
elbow,11,NN
elder,10,NN
elderly,1,NN
elders,2,NN
eldestand,1,NN
elect,2,NN
election,1,NN
elegance,2,NN
elegant,1,NN
element,2,NN
elementary,2,NN
elementsblown,1,NN
elevation,1,NN
eleven,13,NN
eleventh,1,NN
elicit,1,VB
eliminate,2,VB
elizabeth,1,NN
elm,6,NN
elms,3,NN
elopement,1,NN
else,49,NN
elsea,1,NN
elsewhere,4,VB
elucidate,2,VB
emaciated,1,VB
emaciation,2,NN
embalm,1,VB
embarrassed,1,NN
embarrassment,4,NN
embassy,2,NN
embellish,2,VB
embellishment,1,NN
emblem,2,NN
embrace,2,NN
emeralds,1,NN
emerge,3,NN
emergencies,3,NN
emergency,1,NN
eminent,3,NN
emotion,17,NN
emotions,6,NN
emphasis,1,NN
emphasize,1,VB
empire,1,NN
employ,9,VB
employer,10,NN
employers,4,NN
employing,1,NN
employment,4,NN
employé,2,NN
empty,9,NN
enable,10,VB
encamp,1,VB
enclosure,8,NN
enclosures,1,NN
encourage,2,VB
encouragement,1,NN
encyclopædia,3,NN
encyclopædias,1,NN
end,207,NN
endearing,1,NN
endeavour,7,VB
endeavoured,1,NN
endeavours,1,NN
ended,1,NN
ending,3,NN
ends,3,NN
endure,2,VB
enemies,5,NN
enemy,20,NN
enemys,5,NN
energetic,1,VB
energies,2,NN
energy,42,NN
engage,10,VB
engaged,1,VB
engagement,5,NN
engager,1,NN
engine,8,NN
engineer,9,NN
engines,1,NN
england,2,VB
englishman,2,NN
engraving,1,NN
enigma,1,NN
enjoy,4,VB
enlighten,3,VB
enlightening,1,NN
enmity,2,NN
ennui,1,NN
enormous,1,NN
enough,67,NN
enquirer,2,NN
enquiry,3,NN
ensue,1,VB
ensued,1,VB
ensure,1,VB
entangle,1,VB
entanglement,1,NN
enter,17,VB
entered,10,NN
entering,1,NN
enterprise,2,NN
entertainment,1,NN
enthralled,1,NN
enthusiasm,8,NN
enthusiast,3,NN
enthusiastically,1,NN
entirely,5,NN
entomology,2,NN
entrance,14,NN
entrances,1,NN
entreaties,1,NN
entreaty,4,NN
entries,1,NN
entry,2,NN
enumerate,1,VB
envelope,30,NN
epidemic,1,NN
epilogue,1,NN
episode,5,NN
epistle,5,NN
epitaph,1,NN
epithet,1,NN
equal,1,NN
equality,1,NN
equanimity,1,NN
equation,1,NN
erect,1,NN
err,1,VB
errand,15,NN
error,5,NN
eruption,1,NN
es,2,NN
escapade,1,NN
escape,37,NN
escaped,6,NN
escaping,1,NN
escort,5,NN
esmeralda,1,NN
especially,1,VB
esq,1,NN
esquimau,2,NN
essay,2,NN
essence,1,NN
essentials,2,NN
establish,6,VB
establishment,8,NN
estate,24,NN
estates,1,NN
esteem,3,NN
estimate,3,NN
estimation,1,NN
etc,3,NN
ethereal,1,NN
ettie,2,NN
evasively,1,NN
eve,1,NN
even,2,NN
evening,136,NN
evenings,1,NN
event,21,NN
events,16,NN
eventuality,1,NN
eventually,1,NN
ever,27,NN
evermore,1,NN
every,2,NN
everybody,4,NN
everyone,12,NN
everything,70,NN
everywhere,2,NN
evidence,69,NN
evident,2,NN
evidently,4,NN
evil,9,NN
evolve,1,VB
ex,5,NN
exact,2,NN
exactly,30,NN
exactness,3,NN
exaggerate,1,VB
exaggerated,1,VB
exaggeration,1,NN
exaltation,1,NN
examination,33,NN
examine,20,VB
examined,3,NN
examining,2,NN
example,38,NN
exasperation,1,NN
excavations,1,NN
exceed,1,VB
exceedingly,1,NN
excellent,17,NN
except,2,NN
exception,11,NN
exceptions,1,NN
excess,1,VB
exchange,3,NN
excite,2,VB
excited,7,NN
excitement,31,NN
exciting,1,NN
exclamation,12,NN
exclude,1,VB
exclusion,2,NN
excursion,5,NN
excuse,29,VB
excuses,1,NN
execute,1,VB
execution,2,NN
executioner,1,NN
executor,1,NN
exercise,12,NN
exercises,1,NN
exert,2,VB
exertion,2,NN
exertions,5,NN
exhalation,1,NN
exhaust,2,VB
exhausted,2,NN
exhaustion,3,NN
exhibit,1,NN
exhibitions,1,NN
exhort,1,VB
exist,2,VB
existed,1,NN
existence,26,NN
exit,5,NN
expanded,1,NN
expanse,7,NN
expect,25,VB
expectancy,1,NN
expectation,4,NN
expectations,2,NN
expected,4,NN
expedient,2,NN
expedition,16,NN
expenditure,1,NN
expense,12,NN
expenses,2,NN
experience,46,NN
experienced,1,NN
experiences,4,NN
experiment,1,NN
experiments,1,VB
expert,11,NN
experts,2,NN
explain,35,VB
explained,3,NN
explaining,1,NN
explanation,44,NN
explanations,2,NN
explanatory,1,NN
exploit,1,NN
explore,2,VB
explorer,1,NN
exploring,1,NN
explosion,4,NN
exponent,1,NN
expose,4,VB
exposed,2,NN
exposition,1,NN
expostulation,2,NN
exposure,8,NN
expound,1,VB
express,15,VB
expressed,1,NN
expression,78,NN
expulsion,1,VB
extend,3,VB
extent,16,NN
exterior,1,NN
extinction,2,NN
extra,1,NN
extract,3,NN
extraction,2,NN
extraordinary,1,VB
extras,1,NN
extravagance,1,NN
extreme,5,NN
extremely,2,VB
extremity,3,NN
exuberance,1,NN
exult,1,VB
exultant,1,VB
exultantly,2,NN
exultation,7,NN
exulting,1,NN
eye,75,NN
eyebrow,2,NN
eyebrows,11,NN
eyed,4,NN
eyeglasses,1,NN
eyelids,2,NN
eyes,123,NN
fabrication,2,NN
face,502,NN
faced,7,NN
facehis,1,NN
facer,1,NN
faces,14,NN
facet,1,NN
facilitate,1,VB
facility,2,NN
facing,1,NN
facsimile,2,NN
fact,97,NN
factor,8,NN
factornothing,1,NN
factors,1,NN
factory,2,NN
facts,39,NN
faculties,2,NN
faculty,5,NN
fad,1,NN
fading,3,NN
fail,16,VB
failed,5,NN
failing,1,NN
fails,1,NN
failure,3,NN
failures,1,NN
fain,3,VB
faint,12,NN
fainted,2,NN
fainting,2,NN
faintly,1,NN
fair,4,NN
fairbank,1,VB
